1000	0.00341330
21000	0.06100670
41000	0.10291490
61000	0.15581600
81000	0.19906840
101000	0.24657530
121000	0.30973730
141000	0.33998410
161000	0.36070550
181000	0.41005290
201000	0.47688380
221000	0.50072550
241000	0.54302620
261000	0.57369080
281000	0.62386070
301000	0.65578590
321000	0.72550970
341000	0.81119010
361000	0.81079530
381000	0.90577140
401000	0.98327840
421000	1.02818180
441000	1.12423550
461000	1.25995880
481000	1.23248090
501000	1.22699460
521000	1.22786370
541000	1.30043920
561000	1.34430390
581000	1.41393830
601000	1.45786840
621000	1.50190160
641000	1.47424720
661000	1.52929700
681000	1.61646870
701000	1.65190390
721000	1.62877980
741000	1.67644710
761000	1.71574640
781000	1.83263970
801000	1.84185140
821000	1.84208870
841000	1.89854670
861000	1.92941400
881000	2.08018700
901000	2.15631970
921000	2.21227060
941000	2.22225680
961000	2.34480900
981000	2.40401300
1001000	2.50690400
1021000	2.42062010
1041000	2.41779370
1061000	2.45139890
1081000	2.52865710
1101000	2.64874520
1121000	2.69550850
1141000	2.83246660
1161000	3.02880090
1181000	3.28161650
1201000	3.12154390
1221000	2.99469630
1241000	3.06671240
1261000	3.07482230
1281000	3.18277610
1301000	3.09554530
1321000	3.12262810
1341000	3.16494620
1361000	3.12911240
1381000	3.16677560
1401000	3.23108260
1421000	3.46105940
1441000	3.60139490
1461000	3.62152870
1481000	3.52579500
1501000	3.54797200
1521000	3.66098240
1541000	3.66416440
1561000	3.55991020
1581000	3.54819160
1601000	3.60338400
1621000	3.81385720
1641000	3.87333750
1661000	3.77085250
1681000	4.25980030
1701000	4.29984170
1721000	4.23937250
1741000	4.30311800
1761000	4.10285530
1781000	3.98472120
1801000	3.98323380
1821000	4.02069820
1841000	4.04420100
1861000	4.14878960
1881000	4.20480310
1901000	4.28447550
1921000	4.54627030
1941000	4.77021150
1961000	4.63642870
1981000	4.56711570
2001000	4.49642250
2021000	4.51680690
2041000	4.76522400
2061000	4.68668720
2081000	4.71934990
2101000	4.84510490
2121000	5.08260020
2141000	5.24868480
2161000	5.10117850
2181000	5.00142320
2201000	5.32297600
2221000	6.04227700
2241000	5.07465220
2261000	6.36519660
2281000	5.33329680
2301000	5.39609780
2321000	6.56288400
2341000	6.44201240
2361000	6.25552380
2381000	5.59051310
2401000	5.67667170
2421000	5.84904930
2441000	5.61327090
2461000	6.36578300
2481000	5.59557610
2501000	5.76066690
2521000	5.90901400
2541000	5.74365200
2561000	6.00163460
2581000	6.10841580
2601000	6.28959370
2621000	5.97727500
2641000	6.01629460
2661000	6.03347260
2681000	6.60767230
2701000	6.42520070
2721000	6.11727940
2741000	6.46821190
2761000	6.32204030
2781000	6.34467140
2801000	6.43610170
2821000	6.20682270
2841000	6.82186860
2861000	7.07495540
2881000	6.52197180
2901000	6.80502630
2921000	6.89241190
2941000	6.97057840
2961000	7.40434320
2981000	6.68134570
3001000	7.26094070
3021000	7.11108430
3041000	7.33489330
3061000	7.05290110
3081000	7.59258350
3101000	7.83133060
3121000	7.71589830
3141000	7.52957380
3161000	7.15477570
3181000	7.14832240
3201000	8.04984780
3221000	7.43960420
3241000	7.85320840
3261000	7.78629950
3281000	7.70127440
3301000	8.03681110
3321000	7.81307900
3341000	7.98164340
3361000	7.78729730
3381000	8.04885960
3401000	7.81414180
3421000	7.80377470
3441000	8.27055050
3461000	7.91800770
3481000	8.38643680
3501000	7.97460750
3521000	7.96196520
3541000	8.12232480
3561000	8.55272130
3581000	8.55936310
3601000	8.30989390
3621000	8.48591070
3641000	8.89105950
3661000	9.34207030
3681000	8.59137310
3701000	8.80494530
3721000	8.76392120
3741000	8.68972860
3761000	8.76355600
3781000	9.05465700
3801000	8.74085680
3821000	8.82478170
3841000	8.89336100
3861000	9.08820700
3881000	9.39828760
3901000	8.68368480
3921000	9.50367650
3941000	9.35049560
3961000	9.15388030
3981000	8.97888920
4001000	9.29229120
4021000	9.26040140
4041000	9.32963210
4061000	9.95242140
4081000	10.32597240
4101000	10.37100130
4121000	9.63527420
4141000	9.25764560
4161000	9.52085110
4181000	9.65278250
4201000	9.58021810
4221000	9.97685720
4241000	10.40329120
4261000	10.77283980
4281000	10.06832580
4301000	10.22252850
4321000	10.65692390
4341000	10.24292990
4361000	9.97068130
4381000	9.86506520
4401000	10.16905790
4421000	10.25821500
4441000	10.64946970
4461000	10.80582000
4481000	10.11842310
4501000	10.54584840
4521000	10.35210740
4541000	10.68691510
4561000	11.29493780
4581000	11.39918790
4601000	10.61652530
4621000	10.49677000
4641000	10.90538910
4661000	11.69647650
4681000	11.27318260
4701000	10.96142710
4721000	11.22066950
4741000	10.65556170
4761000	11.06766980
4781000	10.49750000
4801000	10.60193880
4821000	10.62631740
4841000	11.80799530
4861000	11.40398800
4881000	11.36596600
4901000	11.21154020
4921000	11.33932120
4941000	12.15034060
4961000	11.93574430
4981000	11.72857260
5001000	11.60500230
5021000	11.67375530
5041000	12.02942690
5061000	11.62770000
5081000	12.12386250
5101000	12.44010230
5121000	11.47638840
5141000	11.61968410
5161000	13.38438550
5181000	12.80556830
5201000	12.45426130
5221000	12.87334840
5241000	12.80745600
5261000	13.37867740
5281000	12.80241870
5301000	12.56972140
5321000	12.27318650
5341000	12.31973140
5361000	12.98649140
5381000	13.07672640
5401000	13.27015460
5421000	13.63928800
5441000	13.18851380
5461000	13.05902510
5481000	12.76362110
5501000	13.45741920
5521000	12.64665650
5541000	13.15289580
5561000	13.38887950
5581000	13.19362750
5601000	14.09613060
5621000	13.49676420
5641000	13.33008270
5661000	13.37314910
5681000	13.63928840
